n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,il1_miss_rate,dl1_hits,dl1_misses,dl1_miss_rate
8,128,1,l,1024,40369883,14844749,36749348,3620535,0.0896841,11709873,3246260,0.217052
16,128,1,l,2048,40369883,14844749,37329833,3040050,0.0753049,12765987,2190146,0.146438
32,128,1,l,4096,40369883,14844749,37689218,2680665,0.0664026,13475851,1480282,0.0989749
64,128,1,l,8192,40369883,14844749,38327294,2042589,0.0505969,13997661,958472,0.0640855
128,128,1,l,16384,40369883,14844749,38784420,1585463,0.0392734,14371238,584895,0.0391074
256,128,1,l,32768,40369883,14844749,39373426,996457,0.0246832,14582673,373460,0.0249704
512,128,1,l,65536,40369883,14844749,39781729,588154,0.0145691,14795005,161128,0.0107734
1024,128,1,l,131072,40369883,14844749,39978527,391356,0.00969426,14883782,72351,0.00483755
2048,128,1,l,262144,40369883,14844749,40068289,301594,0.00747077,14924956,31177,0.00208456
