n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,il1_miss_rate,dl1_hits,dl1_misses,dl1_miss_rate
4,1024,1,l,4096,40369883,14844749,39030389,1339494,0.0331805,11643671,3312462,0.221479
8,1024,1,l,8192,40369883,14844749,39394379,975504,0.0241642,12567097,2389036,0.159736
16,1024,1,l,16384,40369883,14844749,39586930,782953,0.0193945,13405162,1550971,0.103701
32,1024,1,l,32768,40369883,14844749,39826999,542884,0.0134477,13832457,1123676,0.0751315
64,1024,1,l,65536,40369883,14844749,40028228,341655,0.00846312,14566564,389569,0.0260474
