n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,il1_miss_rate,dl1_hits,dl1_misses,dl1_miss_rate
8,512,1,l,4096,40369883,14844749,38786563,1583320,0.0392203,12544434,2411699,0.161252
16,512,1,l,8192,40369883,14844749,39189643,1180240,0.0292357,13285114,1671019,0.111728
32,512,1,l,16384,40369883,14844749,39413060,956823,0.0237014,13924633,1031500,0.0689684
64,512,1,l,32768,40369883,14844749,39733460,636423,0.0157648,14284327,671806,0.0449184
128,512,1,l,65536,40369883,14844749,39985332,384551,0.00952569,14691475,264658,0.0176956
