l1_cache_size,l2_cache_size,instructions_used,load_stores,il1_misses,dl1_misses,dl2_misses
2048,32768,548131052,157194937,157418656,20274716,37309930
4096,65536,548131052,157194937,118271886,7965369,9674376
8192,131072,548131052,157194937,92815690,2821532,6101241
16384,262144,548131052,157194937,63121524,1022639,941939
32768,524288,548131052,157194937,23784919,313609,55222
