n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
8,16,8,f,1024,548131052,157194937,429120822,276206323,0.3916
16,16,16,f,4096,548131052,157194937,527754537,177572608,0.2518
32,16,32,f,16384,548131052,157194937,606862743,98464402,0.1396
64,16,64,f,65536,548131052,157194937,693151167,12175978,0.0173
128,16,128,f,262144,548131052,157194937,703961380,1365765,0.0019
