n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
8,16,8,l,1024,548131052,157194937,435770286,269556859,0.3822
16,16,16,l,4096,548131052,157194937,534601492,170725653,0.2421
32,16,32,l,16384,548131052,157194937,618578716,86748429,0.1230
64,16,64,l,65536,548131052,157194937,696165824,9161321,0.0130
128,16,128,l,262144,548131052,157194937,704666965,660180,0.0009
