n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
8,16,8,r,1024,548131052,157194937,420298179,285028966,0.4041
16,16,16,r,4096,548131052,157194937,518534623,186792522,0.2648
32,16,32,r,16384,548131052,157194937,609791263,95535882,0.1354
64,16,64,r,65536,548131052,157194937,690817433,14509712,0.0206
128,16,128,r,262144,548131052,157194937,704007152,1319993,0.0019
