n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,il1_miss_rate,dl1_hits,dl1_misses,dl1_miss_rate
8,512,1,l,4096,548131052,157194937,535253149,12877903,0.0234942,90516253,66679840,0.424183
16,512,1,l,8192,548131052,157194937,537733091,10397961,0.0189698,105056322,52139771,0.331686
32,512,1,l,16384,548131052,157194937,539904755,8226297,0.0150079,131518549,25677544,0.163347
64,512,1,l,32768,548131052,157194937,543379258,4751794,0.00866908,144815001,12381092,0.0787621
128,512,1,l,65536,548131052,157194937,546783542,1347510,0.00245837,149952487,7243606,0.0460801
