n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,il1_miss_rate,dl1_hits,dl1_misses,dl1_miss_rate
4,1024,1,l,4096,548131052,157194937,537009020,11122032,0.0202908,76378576,80817517,0.514119
8,1024,1,l,8192,548131052,157194937,539393274,8737778,0.015941,91077925,66118168,0.420609
16,1024,1,l,16384,548131052,157194937,541587037,6544015,0.0119388,115983037,41213056,0.262176
32,1024,1,l,32768,548131052,157194937,544466268,3664784,0.00668596,137191803,20004290,0.127257
64,1024,1,l,65536,548131052,157194937,547075956,1055096,0.0019249,144541111,12654982,0.0805044
