n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,il1_miss_rate,dl1_hits,dl1_misses,dl1_miss_rate
16,256,1,l,4096,548131052,157194937,531467378,16663674,0.0304009,102571129,54624964,0.347496
32,256,1,l,8192,548131052,157194937,534060492,14070560,0.0256701,114956258,42239835,0.268708
64,256,1,l,16384,548131052,157194937,536620029,11511023,0.0210005,139668540,17527553,0.111501
128,256,1,l,32768,548131052,157194937,541493839,6637213,0.0121088,148800679,8395414,0.0534073
256,256,1,l,65536,548131052,157194937,546159800,1971252,0.00359632,152726822,4469271,0.0284312
