n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,il1_miss_rate,dl1_hits,dl1_misses,dl1_miss_rate
8,16,8,l,1024,548131052,157194937,362087214,186043838,0.339415,119586464,37609629,0.239253
16,16,8,l,2048,548131052,157194937,390220465,157910587,0.288089,136225264,20970829,0.133406
16,16,16,l,4096,548131052,157194937,429859166,118271886,0.215773,149230724,7965369,0.0506715
32,16,16,l,8192,548131052,157194937,455315362,92815690,0.169331,154374561,2821532,0.0179491
32,16,32,l,16384,548131052,157194937,484568250,63562802,0.115963,156211516,984577,0.00626337
64,16,32,l,32768,548131052,157194937,525191060,22939992,0.0418513,156923136,272957,0.00173641
64,16,64,l,65536,548131052,157194937,541880050,6251002,0.0114042,157078656,117437,0.000747073
128,16,64,l,131072,548131052,157194937,542937511,5193541,0.009475,157168322,27771,0.000176665
128,16,128,l,262144,548131052,157194937,547919344,211708,0.000386236,157169966,26127,0.000166206
