n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
256,16,16,r,65536,4,16,16,r,1024,548131052,157194937,419697193,285629952,0.4050
8,16,16,r,2048,548131052,157194937,468192335,237134810,0.3362
16,16,16,r,4096,548131052,157194937,518534623,186792522,0.2648
32,16,16,r,8192,548131052,157194937,565063768,140263377,0.1989
128,16,16,r,32768,548131052,157194937,657199261,48127884,0.0682
256,16,16,r,65536,548131052,157194937,690570489,14756656,0.0209
1024,16,16,r,262144,548131052,157194937,703946332,1380813,0.0020
