n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
4,16,16,r,1024,40369883,14844749,36854818,18471198,0.3339
8,16,16,r,2048,40369883,14844749,40664845,14661171,0.2650
16,16,16,r,4096,40369883,14844749,43896225,11429791,0.2066
32,16,16,r,8192,40369883,14844749,47343291,7982725,0.1443
128,16,16,r,32768,40369883,14844749,52872854,2453162,0.0443
256,16,16,r,65536,40369883,14844749,53837929,1488087,0.0269
1024,16,16,r,262144,40369883,14844749,55028382,297634,0.0054
