n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
64,16,1,r,1024,40369883,14844749,35778490,19547526,0.3533
128,16,1,r,2048,40369883,14844749,39376633,15949383,0.2883
256,16,1,r,4096,40369883,14844749,42221262,13104754,0.2369
512,16,1,r,8192,40369883,14844749,45772309,9553707,0.1727
1024,16,1,r,16384,40369883,14844749,48350664,6975352,0.1261
2048,16,1,r,32768,40369883,14844749,50969751,4356265,0.0787
4096,16,1,r,65536,40369883,14844749,52694939,2631077,0.0476
8192,16,1,r,131072,40369883,14844749,53590692,1735324,0.0314
