n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
8,16,8,r,1024,40369883,14844749,36871722,18454294,0.3336
16,16,8,r,2048,40369883,14844749,40656560,14669456,0.2651
32,16,8,r,4096,40369883,14844749,43852120,11473896,0.2074
64,16,8,r,8192,40369883,14844749,47334946,7991070,0.1444
256,16,8,r,32768,40369883,14844749,52764957,2561059,0.0463
512,16,8,r,65536,40369883,14844749,53824655,1501361,0.0271
1024,16,8,r,131072,40369883,14844749,54544229,781787,0.0141
2048,16,8,r,262144,40369883,14844749,55008029,317987,0.0057
