n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
1,16,256,r,4096,40369883,14844749,43842522,11483494,0.2076
1,16,512,r,8192,40369883,14844749,47343419,7982597,0.1443
1,16,1024,r,16384,40369883,14844749,51138505,4187511,0.0757
1,16,2048,r,32768,40369883,14844749,52896110,2429906,0.0439
1,16,4096,r,65536,40369883,14844749,53853824,1472192,0.0266
