n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
8,16,8,f,1024,40369883,14844749,36896083,18429933,0.3331
16,16,16,f,4096,40369883,14844749,44193276,11132740,0.2012
32,16,32,f,16384,40369883,14844749,51106108,4219908,0.0763
64,16,64,f,65536,40369883,14844749,53908891,1417125,0.0256
128,16,128,f,262144,40369883,14844749,55015299,310717,0.0056
