n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
8,16,8,l,1024,40369883,14844749,37507811,17818205,0.3221
16,16,16,l,4096,40369883,14844749,44658956,10667060,0.1928
32,16,32,l,16384,40369883,14844749,51785007,3541009,0.0640
64,16,64,l,65536,40369883,14844749,54135260,1190756,0.0215
128,16,128,l,262144,40369883,14844749,55087121,238895,0.0043
