n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
16,16,8,l,2048,40369883,14844749,41580197,13745819,0.2485
16,16,16,l,4096,40369883,14844749,44658956,10667060,0.1928
32,16,16,l,8192,40369883,14844749,47296244,8029772,0.1451
32,16,32,l,16384,40369883,14844749,51785007,3541009,0.0640
64,16,32,l,32768,40369883,14844749,53281016,2045000,0.0370
64,16,64,l,65536,40369883,14844749,54135260,1190756,0.0215
128,16,64,l,131072,40369883,14844749,54767491,558525,0.0101
128,16,128,l,262144,40369883,14844749,55087121,238895,0.0043
256,16,128,l,524288,40369883,14844749,55266850,59166,0.0011
