n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,il1_miss_rate,dl1_hits,dl1_misses,dl1_miss_rate
8,16,8,l,1024,40369883,14844749,27760773,12609110,0.31234,13164068,1792065,0.119821
16,16,8,l,2048,40369883,14844749,30327943,10041940,0.248748,13753688,1202445,0.0803981
16,16,16,l,4096,40369883,14844749,32065439,8304444,0.205709,14319906,636227,0.0425395
32,16,16,l,8192,40369883,14844749,34762834,5607049,0.138892,14529452,426681,0.0285288
32,16,32,l,16384,40369883,14844749,38110925,2258958,0.0559565,14693753,262380,0.0175433
64,16,32,l,32768,40369883,14844749,38954175,1415708,0.0350684,14777501,178632,0.0119437
64,16,64,l,65536,40369883,14844749,39620883,749000,0.0185534,14857144,98989,0.00661862
128,16,64,l,131072,40369883,14844749,40022220,347663,0.00861194,14912492,43641,0.00291793
128,16,128,l,262144,40369883,14844749,40326019,43864,0.00108655,14927447,28686,0.00191801
